sku,location,date,actual_demand,forecast,abc_class,xyz_class,cv,promo_flag,holiday_flag,lead_time_mean,lead_time_std,unit_cost,unit_margin,holding_cost_rate,shortage_cost_per_unit,service_target,safety_stock,reorder_point,on_hand,on_order,stockout_flag,product_family
SKU_001,WH_NORTH,2023-01-02,368.0,337.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1437.0,122.0,0,FAM_A
SKU_001,WH_NORTH,2023-01-09,596.0,564.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2593.0,297.0,0,FAM_A
SKU_001,WH_NORTH,2023-01-16,620.0,604.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3745.0,944.0,0,FAM_A
SKU_001,WH_NORTH,2023-01-23,251.0,214.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4882.0,25.0,0,FAM_A
SKU_001,WH_NORTH,2023-01-30,334.0,325.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3619.0,105.0,0,FAM_A
SKU_001,WH_NORTH,2023-02-06,516.0,496.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2687.0,955.0,0,FAM_A
SKU_001,WH_NORTH,2023-02-13,460.0,430.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4917.0,795.0,0,FAM_A
SKU_001,WH_NORTH,2023-02-20,498.0,454.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4274.0,18.0,0,FAM_A
SKU_001,WH_NORTH,2023-02-27,391.0,374.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4468.0,787.0,0,FAM_A
SKU_001,WH_NORTH,2023-03-06,612.0,576.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3172.0,599.0,0,FAM_A
SKU_001,WH_NORTH,2023-03-13,599.0,575.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3485.0,408.0,0,FAM_A
SKU_001,WH_NORTH,2023-03-20,508.0,485.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2716.0,644.0,0,FAM_A
SKU_001,WH_NORTH,2023-03-27,644.0,638.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2838.0,245.0,0,FAM_A
SKU_001,WH_NORTH,2023-04-03,560.0,531.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4106.0,807.0,0,FAM_A
SKU_001,WH_NORTH,2023-04-10,391.0,358.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1157.0,587.0,0,FAM_A
SKU_001,WH_NORTH,2023-04-17,547.0,525.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4447.0,307.0,0,FAM_A
SKU_001,WH_NORTH,2023-04-24,378.0,364.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4865.0,164.0,0,FAM_A
SKU_001,WH_NORTH,2023-05-01,612.0,604.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1535.0,114.0,0,FAM_A
SKU_001,WH_NORTH,2023-05-08,494.0,484.0,A,X,0.255,1,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1108.0,173.0,0,FAM_A
SKU_001,WH_NORTH,2023-05-15,476.0,460.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3434.0,672.0,0,FAM_A
SKU_001,WH_NORTH,2023-05-22,413.0,416.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2248.0,498.0,0,FAM_A
SKU_001,WH_NORTH,2023-05-29,656.0,608.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4562.0,43.0,0,FAM_A
SKU_001,WH_NORTH,2023-06-05,480.0,449.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1895.0,246.0,0,FAM_A
SKU_001,WH_NORTH,2023-06-12,445.0,411.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2675.0,49.0,0,FAM_A
SKU_001,WH_NORTH,2023-06-19,455.0,428.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3141.0,100.0,0,FAM_A
SKU_001,WH_NORTH,2023-06-26,568.0,522.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1094.0,914.0,0,FAM_A
SKU_001,WH_NORTH,2023-07-03,547.0,532.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4529.0,892.0,0,FAM_A
SKU_001,WH_NORTH,2023-07-10,553.0,525.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4349.0,770.0,0,FAM_A
SKU_001,WH_NORTH,2023-07-17,555.0,508.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4249.0,133.0,0,FAM_A
SKU_001,WH_NORTH,2023-07-24,773.0,723.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3100.0,847.0,0,FAM_A
SKU_001,WH_NORTH,2023-07-31,448.0,432.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2539.0,632.0,0,FAM_A
SKU_001,WH_NORTH,2023-08-07,435.0,428.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1475.0,472.0,0,FAM_A
SKU_001,WH_NORTH,2023-08-14,396.0,408.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1877.0,363.0,0,FAM_A
SKU_001,WH_NORTH,2023-08-21,578.0,595.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2289.0,375.0,0,FAM_A
SKU_001,WH_NORTH,2023-08-28,644.0,621.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2156.0,937.0,0,FAM_A
SKU_001,WH_NORTH,2023-09-04,485.0,448.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2955.0,324.0,0,FAM_A
SKU_001,WH_NORTH,2023-09-11,393.0,343.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4551.0,645.0,0,FAM_A
SKU_001,WH_NORTH,2023-09-18,395.0,381.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3180.0,625.0,0,FAM_A
SKU_001,WH_NORTH,2023-09-25,583.0,544.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4057.0,200.0,0,FAM_A
SKU_001,WH_NORTH,2023-10-02,595.0,562.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4604.0,131.0,0,FAM_A
SKU_001,WH_NORTH,2023-10-09,569.0,534.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1281.0,717.0,0,FAM_A
SKU_001,WH_NORTH,2023-10-16,415.0,394.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4930.0,136.0,0,FAM_A
SKU_001,WH_NORTH,2023-10-23,530.0,522.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4344.0,587.0,0,FAM_A
SKU_001,WH_NORTH,2023-10-30,515.0,494.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4319.0,935.0,0,FAM_A
SKU_001,WH_NORTH,2023-11-06,528.0,502.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,3429.0,94.0,0,FAM_A
SKU_001,WH_NORTH,2023-11-13,611.0,568.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1611.0,558.0,0,FAM_A
SKU_001,WH_NORTH,2023-11-20,528.0,479.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,2890.0,516.0,0,FAM_A
SKU_001,WH_NORTH,2023-11-27,586.0,552.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4337.0,486.0,0,FAM_A
SKU_001,WH_NORTH,2023-12-04,509.0,485.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4910.0,118.0,0,FAM_A
SKU_001,WH_NORTH,2023-12-11,537.0,539.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,1249.0,650.0,0,FAM_A
SKU_001,WH_NORTH,2023-12-18,580.0,556.0,A,X,0.255,0,0,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4229.0,663.0,0,FAM_A
SKU_001,WH_NORTH,2023-12-25,314.0,314.0,A,X,0.255,0,1,14,2,237.39,71.22,0.2,106.83,0.95,1736.0,2724.0,4767.0,753.0,0,FAM_A
